book_id,title,author,genre,subgenre,rating,num_ratings,publication_year,description,isbn,page_count,language,cover_url,series,reading_level
1,"To Kill a Mockingbird","Harper Lee","Fiction","Classic",4.27,4900000,1960,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it","9780446310789",336,"English","https://images.gr-assets.com/books/1553383690l/2657.jpg","",3
2,"1984","George Orwell","Fiction","Dystopian",4.19,3400000,1949,"Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real","9780451524935",328,"English","https://images.gr-assets.com/books/1532714506l/40961427.jpg","",3
3,"Pride and Prejudice","Jane Austen","Fiction","Romance",4.25,3300000,1813,"Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language","9780486284736",279,"English","https://images.gr-assets.com/books/1320399351l/1885.jpg","",3
4,"The Great Gatsby","F. Scott Fitzgerald","Fiction","Classic",3.91,3900000,1925,"The story of the fabulously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan","9780743273565",180,"English","https://images.gr-assets.com/books/1490528560l/4671.jpg","",3
5,"The Hobbit","J.R.R. Tolkien","Fantasy","Epic Fantasy",4.28,3100000,1937,"Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely traveling any farther than his pantry or cellar","9780547928227",366,"English","https://images.gr-assets.com/books/1546071216l/5907.jpg","The Lord of the Rings",3
6,"Harry Potter and the Sorcerer's Stone","J.K. Rowling","Fantasy","Young Adult",4.47,7800000,1997,"Harry Potter has never been the star of a Quidditch team, scoring points while riding a broom far above the ground","9781338878929",309,"English","https://images.gr-assets.com/books/1474154022l/3.jpg","Harry Potter",2
7,"The Catcher in the Rye","J.D. Salinger","Fiction","Coming of Age",3.81,3000000,1951,"The hero-narrator of The Catcher in the Rye is an ancient child of sixteen, a native New Yorker named Holden Caulfield","9780316769488",277,"English","https://images.gr-assets.com/books/1398034300l/5107.jpg","",3
8,"Lord of the Flies","William Golding","Fiction","Classic",3.69,2500000,1954,"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys","9780399501487",224,"English","https://images.gr-assets.com/books/1327869409l/7624.jpg","",3
9,"Animal Farm","George Orwell","Fiction","Political Fiction",3.97,3200000,1945,"A farm is taken over by its overworked, mistreated animals. With flaming idealism and stirring slogans, they set out to create a paradise of progress, justice, and equality","9780451526342",141,"English","https://images.gr-assets.com/books/1424037542l/7613.jpg","",3
10,"The Lord of the Rings","J.R.R. Tolkien","Fantasy","Epic Fantasy",4.52,2500000,1954,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them","9780618640157",1178,"English","https://images.gr-assets.com/books/1566425108l/33.jpg","The Lord of the Rings",4
